absolutističnostima | ABSOLUTISTIČNOST - [pravopis]
biotransformacijami | BIOTRANSFORMACIJA - [farm.] skupina encimsko kataliziranih biokemičnih procesov, ki v organizem vnesene snovi, zlasti ksenobiotike, npr. zdravila, pretvorijo v obliko, ki se lažje in hitreje izloči iz organizma
birokratiziranostih | BIROKRATIZIRANOST - [pravopis]
birokratiziranostim | BIROKRATIZIRANOST - [pravopis]
birokratiziranostjo | BIROKRATIZIRANOST - [pravopis]
birokratiziranostma | BIROKRATIZIRANOST - [pravopis]
birokratiziranostmi | BIROKRATIZIRANOST - [pravopis]
blagonaklonjenostih | BLAGONAKLONJENOST - dobrohotna, prijateljska naklonjenost
blagonaklonjenostim | BLAGONAKLONJENOST - dobrohotna, prijateljska naklonjenost
blagonaklonjenostjo | BLAGONAKLONJENOST - dobrohotna, prijateljska naklonjenost
blagonaklonjenostma | BLAGONAKLONJENOST - dobrohotna, prijateljska naklonjenost
blagonaklonjenostmi | BLAGONAKLONJENOST - dobrohotna, prijateljska naklonjenost
blagoslovljenčevega | BLAGOSLOVLJENČEV - [pravopis]
blagoslovljenčevemu | BLAGOSLOVLJENČEV - [pravopis]
blagoslovljenčevima | BLAGOSLOVLJENČEV - [pravopis]
blagoslovljenčevimi | BLAGOSLOVLJENČEV - [pravopis]
blagoslovljenostima | BLAGOSLOVLJENOST - [pravopis]
bogoiskateljičinega | BOGOISKATELJIČIN - [pravopis]
bogoiskateljičinemu | BOGOISKATELJIČIN - [pravopis]
bogoiskateljičinima | BOGOISKATELJIČIN - [pravopis]
bogoiskateljičinimi | BOGOISKATELJIČIN - [pravopis]
bohinjskobistriškem | BOHINJSKOBISTRIŠKI - [pravopis]
bohinjskobistriških | BOHINJSKOBISTRIŠKI - [pravopis]
bohinjskobistriškim | BOHINJSKOBISTRIŠKI - [pravopis]
boreomeridionalnega | BOREOMERIDIONALEN - [bot.] v zvezi »boreomeridionalni rastlinski pas«: rastlinski pas, ki obsega del holarktike južno od borealnega rastlinskega pasu z zmernim podnebjem, v Evropi z značilnimi listopadnimi gozdovi
boreomeridionalnemu | BOREOMERIDIONALEN - [bot.] v zvezi »boreomeridionalni rastlinski pas«: rastlinski pas, ki obsega del holarktike južno od borealnega rastlinskega pasu z zmernim podnebjem, v Evropi z značilnimi listopadnimi gozdovi
boreomeridionalnima | BOREOMERIDIONALEN - [bot.] v zvezi »boreomeridionalni rastlinski pas«: rastlinski pas, ki obsega del holarktike južno od borealnega rastlinskega pasu z zmernim podnebjem, v Evropi z značilnimi listopadnimi gozdovi
boreomeridionalnimi | BOREOMERIDIONALEN - [bot.] v zvezi »boreomeridionalni rastlinski pas«: rastlinski pas, ki obsega del holarktike južno od borealnega rastlinskega pasu z zmernim podnebjem, v Evropi z značilnimi listopadnimi gozdovi
borznoposredniškega | BORZNOPOSREDNIŠKI - nanašajoč se na borzne posrednike ali borzno posredovanje
borznoposredniškemu | BORZNOPOSREDNIŠKI - nanašajoč se na borzne posrednike ali borzno posredovanje
borznoposredniškima | BORZNOPOSREDNIŠKI - nanašajoč se na borzne posrednike ali borzno posredovanje
borznoposredniškimi | BORZNOPOSREDNIŠKI - nanašajoč se na borzne posrednike ali borzno posredovanje
botrioblastokonidij | [bot.]
braunschweigovskega | BRAUNSCHWEIGOVSKI - [pravopis]
braunschweigovskemu | BRAUNSCHWEIGOVSKI - [pravopis]
braunschweigovskima | BRAUNSCHWEIGOVSKI - [pravopis]
braunschweigovskimi | BRAUNSCHWEIGOVSKI - [pravopis]
brezgotovinskostima | BREZGOTOVINSKOST - [pravopis]
brezhrbteničnostima | BREZHRBTENIČNOST - lastnost neznačajnega, podkupljivega človeka
brezkompromisnostih | BREZKOMPROMISNOST - lastnost brezkompromisnega
brezkompromisnostim | BREZKOMPROMISNOST - lastnost brezkompromisnega
brezkompromisnostjo | BREZKOMPROMISNOST - lastnost brezkompromisnega
brezkompromisnostma | BREZKOMPROMISNOST - lastnost brezkompromisnega
brezkompromisnostmi | BREZKOMPROMISNOST - lastnost brezkompromisnega
brezkonfesionalcema | BREZKONFESIONALEC - brezkonfesionalen človek
brezkonfesionalnega | BREZKONFESIONALEN - ki je brez konfesije, veroizpovedi
brezkonfesionalnemu | BREZKONFESIONALEN - ki je brez konfesije, veroizpovedi
brezkonfesionalnima | BREZKONFESIONALEN - ki je brez konfesije, veroizpovedi
brezkonfesionalnimi | BREZKONFESIONALEN - ki je brez konfesije, veroizpovedi
brezkonfesionalnost | lastnost, značilnost človeka brez konfesije, veroizpovedi
brezkonkurenčnostih | BREZKONKURENČNOST - [pravopis]
brezkonkurenčnostim | BREZKONKURENČNOST - [pravopis]
brezkonkurenčnostjo | BREZKONKURENČNOST - [pravopis]
brezkonkurenčnostma | BREZKONKURENČNOST - [pravopis]
brezkonkurenčnostmi | BREZKONKURENČNOST - [pravopis]
brezperspektivnosti | BREZPERSPEKTIVNOST - brezperspektivno stanje
brezprostorskostima | BREZPROSTORSKOST - [sinonimni]
brezskrupuloznostih | BREZSKRUPULOZNOST
brezskrupuloznostim | BREZSKRUPULOZNOST
brezskrupuloznostjo | BREZSKRUPULOZNOST
brezskrupuloznostma | BREZSKRUPULOZNOST
brezskrupuloznostmi | BREZSKRUPULOZNOST
brezzgodovinskostih | BREZZGODOVINSKOST - [pravopis]
brezzgodovinskostim | BREZZGODOVINSKOST - [pravopis]
brezzgodovinskostjo | BREZZGODOVINSKOST - [pravopis]
brezzgodovinskostma | BREZZGODOVINSKOST - [pravopis]
brezzgodovinskostmi | BREZZGODOVINSKOST - [pravopis]
brezživljenjskostih | BREZŽIVLJENJSKOST - [pravopis]
brezživljenjskostim | BREZŽIVLJENJSKOST - [pravopis]
brezživljenjskostjo | BREZŽIVLJENJSKOST - [pravopis]
brezživljenjskostma | BREZŽIVLJENJSKOST - [pravopis]
brezživljenjskostmi | BREZŽIVLJENJSKOST - [pravopis]
britanskohonduraška | BRITANSKOHONDURAŠKI - [pravopis]
britanskohonduraške | BRITANSKOHONDURAŠKI - [pravopis]
britanskohonduraški | [pravopis]
britanskohonduraško | BRITANSKOHONDURAŠKI - [pravopis]
bronhodilatatorjema | BRONHODILATATOR - [farm.] učinkovina, ki sprošča gladke mišice v steni dihalne cevi in zato olajšuje izmenjavo plinov med pljuči in okolico
bronhospazmolitikih | BRONHOSPAZMOLITIK - [farm.] učinkovina, ki sprošča gladke mišice v steni dihalne cevi in zato olajšuje izmenjavo plinov med pljuči in okolico
bronhospazmolitikom | BRONHOSPAZMOLITIK - [farm.] učinkovina, ki sprošča gladke mišice v steni dihalne cevi in zato olajšuje izmenjavo plinov med pljuči in okolico
bronhospazmolitikov | BRONHOSPAZMOLITIK - [farm.] učinkovina, ki sprošča gladke mišice v steni dihalne cevi in zato olajšuje izmenjavo plinov med pljuči in okolico
brzopopravljalnicah | BRZOPOPRAVLJALNICA - [pravopis]
brzopopravljalnicam | BRZOPOPRAVLJALNICA - [pravopis]
buckinghamshirskega | BUCKINGHAMSHIRSKI - [epravopis] 
buckinghamshirskemu | BUCKINGHAMSHIRSKI - [epravopis] 
buckinghamshirskima | BUCKINGHAMSHIRSKI - [epravopis] 
buckinghamshirskimi | BUCKINGHAMSHIRSKI - [epravopis] 
butilpirazolidinoma | BUTILPIRAZOLIDINI - [farm.] nesteroidni analgetiki, antipiretiki in antiflogistiki s petčlenskim pirazolidinskim obročem, ki zavirajo encim ciklooksigenazo, npr. fenilbutazon
carinskopolitičnega | CARINSKOPOLITIČEN - [pravopis]
carinskopolitičnemu | CARINSKOPOLITIČEN - [pravopis]
carinskopolitičnima | CARINSKOPOLITIČEN - [pravopis]
carinskopolitičnimi | CARINSKOPOLITIČEN - [pravopis]
celoprostorninskega | CELOPROSTORNINSKI - [čeb.] v zvezi »celoprostorninsko prezimovanje čebeljih družin«: prezimovanje družin v vseh delih panjske enote skladovničnega panja
celoprostorninskemu | CELOPROSTORNINSKI - [čeb.] v zvezi »celoprostorninsko prezimovanje čebeljih družin«: prezimovanje družin v vseh delih panjske enote skladovničnega panja
celoprostorninskima | CELOPROSTORNINSKI - [čeb.] v zvezi »celoprostorninsko prezimovanje čebeljih družin«: prezimovanje družin v vseh delih panjske enote skladovničnega panja
celoprostorninskimi | CELOPROSTORNINSKI - [čeb.] v zvezi »celoprostorninsko prezimovanje čebeljih družin«: prezimovanje družin v vseh delih panjske enote skladovničnega panja
centralističnostima | CENTRALISTIČNOST - [pravopis]
centraliziranostima | CENTRALIZIRANOST - [pravopis]
centralnoevropskega | CENTRALNOEVROPSKI - [bot.] v zvezi »centralnoevropski geoelement«: skupina rastlinskih vrst, ki je razširjena v osrednjem delu območja listopadnih listavcev Evrope
centralnoevropskemu | CENTRALNOEVROPSKI - [bot.] v zvezi »centralnoevropski geoelement«: skupina rastlinskih vrst, ki je razširjena v osrednjem delu območja listopadnih listavcev Evrope
centralnoevropskima | CENTRALNOEVROPSKI - [bot.] v zvezi »centralnoevropski geoelement«: skupina rastlinskih vrst, ki je razširjena v osrednjem delu območja listopadnih listavcev Evrope
centralnoevropskimi | CENTRALNOEVROPSKI - [bot.] v zvezi »centralnoevropski geoelement«: skupina rastlinskih vrst, ki je razširjena v osrednjem delu območja listopadnih listavcev Evrope
cerebrovaskularnega | CEREBROVASKULARNI - [sinonimni]
cerebrovaskularnemu | CEREBROVASKULARNI - [sinonimni]
cerebrovaskularnima | CEREBROVASKULARNI - [sinonimni]
cerebrovaskularnimi | CEREBROVASKULARNI - [sinonimni]
cerkvenopolitičnega | CERKVENOPOLITIČEN - nanašajoč se na cerkveno politiko
cerkvenopolitičnemu | CERKVENOPOLITIČEN - nanašajoč se na cerkveno politiko
cerkvenopolitičnima | CERKVENOPOLITIČEN - nanašajoč se na cerkveno politiko
cerkvenopolitičnimi | CERKVENOPOLITIČEN - nanašajoč se na cerkveno politiko
cerkvenopolitičnost | [pravopis]
cerkvenopravnostima | CERKVENOPRAVNOST - [pravopis]
cerkvenoslovanskega | CERKVENOSLOVANSKI - nanašajoč se na cerkveno slovanščino
cerkvenoslovanskemu | CERKVENOSLOVANSKI - nanašajoč se na cerkveno slovanščino
cerkvenoslovanskima | CERKVENOSLOVANSKI - nanašajoč se na cerkveno slovanščino
cerkvenoslovanskimi | CERKVENOSLOVANSKI - nanašajoč se na cerkveno slovanščino
cerkvenoslovanščina | [pravopis]
cerkvenoslovanščine | CERKVENOSLOVANŠČINA - [pravopis]
cerkvenoslovanščini | CERKVENOSLOVANŠČINA - [pravopis]
cerkvenoslovanščino | CERKVENOSLOVANŠČINA - [pravopis]
cerkvenoupravnostih | CERKVENOUPRAVNOST - [pravopis]
cerkvenoupravnostim | CERKVENOUPRAVNOST - [pravopis]
cerkvenoupravnostjo | CERKVENOUPRAVNOST - [pravopis]
cerkvenoupravnostma | CERKVENOUPRAVNOST - [pravopis]
cerkvenoupravnostmi | CERKVENOUPRAVNOST - [pravopis]
ciklostratigrafijah | CIKLOSTRATIGRAFIJA - [geol.] stratigrafija, ki obravnava kamnine v ciklih glede na nastanek in uničenje, npr. cikel dogodkov v glacialu in interglacialu
ciklostratigrafijam | CIKLOSTRATIGRAFIJA - [geol.] stratigrafija, ki obravnava kamnine v ciklih glede na nastanek in uničenje, npr. cikel dogodkov v glacialu in interglacialu
ciklowollastonitoma | CIKLOWOLLASTONIT - [geol.] motno bel triklinski mineral, visokotemperaturna modifikacija wollastonita, nitasti silikat
cirkumflektiranosti | CIRKUMFLEKTIRANOST - [pravopis]
cistercijanskostima | CISTERCIJANSKOST - [pravopis]
cistogametogamijama | CISTOGAMETOGAMIJA - [bot.] oploditev, značilna za oomicete (Oomycota), pri kateri moško diferencirano jedro pride skozi oploditveni kanalček neposredno v žensko gametocisto
cistogametogamijami | CISTOGAMETOGAMIJA - [bot.] oploditev, značilna za oomicete (Oomycota), pri kateri moško diferencirano jedro pride skozi oploditveni kanalček neposredno v žensko gametocisto
cistouretroskopijah | CISTOURETROSKOPIJA - [pravopis]
cistouretroskopijam | CISTOURETROSKOPIJA - [pravopis]
civilnopravdnostima | CIVILNOPRAVDNOST - [pravopis]
civilnozaščitnicama | CIVILNOZAŠČITNICA - [pravopis]
civilnozaščitnicami | CIVILNOZAŠČITNICA - [pravopis]
civilnozaščitničina | CIVILNOZAŠČITNIČIN - [pravopis]
civilnozaščitničine | CIVILNOZAŠČITNIČIN - [pravopis]
civilnozaščitničini | CIVILNOZAŠČITNIČIN - [pravopis]
civilnozaščitničino | CIVILNOZAŠČITNIČIN - [pravopis]
civilnozaščitnikoma | CIVILNOZAŠČITNIK - [pravopis]
časopisnoagencijska | ČASOPISNOAGENCIJSKI - [pravopis]
časopisnoagencijske | ČASOPISNOAGENCIJSKI - [pravopis]
časopisnoagencijski | [pravopis]
časopisnoagencijsko | ČASOPISNOAGENCIJSKI - [pravopis]
črnograditeljičinem | ČRNOGRADITELJIČIN - [pravopis]
črnograditeljičinih | ČRNOGRADITELJIČIN - [pravopis]
črnograditeljičinim | ČRNOGRADITELJIČIN - [pravopis]
črnograditeljstvoma | ČRNOGRADITELJSTVO - graditeljstvo, ki ni v skladu z veljavnimi zakoni, predpisi
čutnodomišljijskega | ČUTNODOMIŠLJIJSKI - [epravopis] nanašajoč se na čutno domišljijo
čutnodomišljijskemu | ČUTNODOMIŠLJIJSKI - [epravopis] nanašajoč se na čutno domišljijo
čutnodomišljijskima | ČUTNODOMIŠLJIJSKI - [epravopis] nanašajoč se na čutno domišljijo
čutnodomišljijskimi | ČUTNODOMIŠLJIJSKI - [epravopis] nanašajoč se na čutno domišljijo
daktilografiranjema | DAKTILOGRAFIRANJE - glagolnik od daktilografirati
daktilografskostima | DAKTILOGRAFSKOST - [pravopis]
davčnoinšpekcijskem | DAVČNOINŠPEKCIJSKI - [epravopis] nanašajoč se na davčno inšpekcijo
davčnoinšpekcijskih | DAVČNOINŠPEKCIJSKI - [epravopis] nanašajoč se na davčno inšpekcijo
davčnoinšpekcijskim | DAVČNOINŠPEKCIJSKI - [epravopis] nanašajoč se na davčno inšpekcijo
davkoplačevalčevega | DAVKOPLAČEVALČEV - [pravopis]
davkoplačevalčevemu | DAVKOPLAČEVALČEV - [pravopis]
davkoplačevalčevima | DAVKOPLAČEVALČEV - [pravopis]
davkoplačevalčevimi | DAVKOPLAČEVALČEV - [pravopis]
debirokratizacijama | DEBIROKRATIZACIJA - odpravljanje birokratizma
debirokratizacijami | DEBIROKRATIZACIJA - odpravljanje birokratizma
decentralističnosti | DECENTRALISTIČNOST - [pravopis]
decentralizacijskem | DECENTRALIZACIJSKI - nanašajoč se na decentralizacijo
decentralizacijskih | DECENTRALIZACIJSKI - nanašajoč se na decentralizacijo
decentralizacijskim | DECENTRALIZACIJSKI - nanašajoč se na decentralizacijo
decentraliziranosti | DECENTRALIZIRANOST - [pravopis]
decimalnoštevilskem | DECIMALNOŠTEVILSKI - [pravopis]
decimalnoštevilskih | DECIMALNOŠTEVILSKI - [pravopis]
decimalnoštevilskim | DECIMALNOŠTEVILSKI - [pravopis]
deindustrializacija | [geog.] navadno načrtno nadomeščanje industrijske proizvodnje na določenem območju z drugimi dejavnostmi, s čimer industrija postaja gospodarsko postranska dejavnost
deindustrializacije | DEINDUSTRIALIZACIJA - [geog.] navadno načrtno nadomeščanje industrijske proizvodnje na določenem območju z drugimi dejavnostmi, s čimer industrija postaja gospodarsko postranska dejavnost
deindustrializaciji | DEINDUSTRIALIZACIJA - [geog.] navadno načrtno nadomeščanje industrijske proizvodnje na določenem območju z drugimi dejavnostmi, s čimer industrija postaja gospodarsko postranska dejavnost
deindustrializacijo | DEINDUSTRIALIZACIJA - [geog.] navadno načrtno nadomeščanje industrijske proizvodnje na določenem območju z drugimi dejavnostmi, s čimer industrija postaja gospodarsko postranska dejavnost
dekarbonatizacijama | DEKARBONATIZACIJA - [geol.] razpad karbonata zaradi temperaturnih ali/in kemičnih pogojev
dekarbonatizacijami | DEKARBONATIZACIJA - [geol.] razpad karbonata zaradi temperaturnih ali/in kemičnih pogojev
deklamatoričnostima | DEKLAMATORIČNOST - vsebinsko prazna vznesenost
dekolonializacijama | DEKOLONIALIZACIJA - [prav.] proces osamosvajanja kolonij v skladu s pravico do samoodločbe
dekolonializacijami | DEKOLONIALIZACIJA - [prav.] proces osamosvajanja kolonij v skladu s pravico do samoodločbe
dekompenzacijskosti | DEKOMPENZACIJSKOST - [pravopis]
dekomplementacijama | DEKOMPLEMENTACIJA - [farm.]
dekomplementacijami | DEKOMPLEMENTACIJA - [farm.]
dekompresijskostima | DEKOMPRESIJSKOST - [pravopis]
dekoncentracijskega | DEKONCENTRACIJSKI - nanašajoč se na dekoncentracijo
dekoncentracijskemu | DEKONCENTRACIJSKI - nanašajoč se na dekoncentracijo
dekoncentracijskima | DEKONCENTRACIJSKI - nanašajoč se na dekoncentracijo
dekoncentracijskimi | DEKONCENTRACIJSKI - nanašajoč se na dekoncentracijo
dekoncentriranostih | DEKONCENTRIRANOST - [pravopis]
dekoncentriranostim | DEKONCENTRIRANOST - [pravopis]
dekoncentriranostjo | DEKONCENTRIRANOST - [pravopis]
dekoncentriranostma | DEKONCENTRIRANOST - [pravopis]
dekoncentriranostmi | DEKONCENTRIRANOST - [pravopis]
dekonstitutivnostih | DEKONSTITUTIVNOST - [pravopis]
dekonstitutivnostim | DEKONSTITUTIVNOST - [pravopis]
dekonstitutivnostjo | DEKONSTITUTIVNOST - [pravopis]
dekonstitutivnostma | DEKONSTITUTIVNOST - [pravopis]
dekonstitutivnostmi | DEKONSTITUTIVNOST - [pravopis]
dekontaminacijskega | DEKONTAMINACIJSKI - [gas.] v zvezi »dekontaminacijska linija«: mesto na robu nevarnega območja, kjer se izvaja dekontaminacija in ki ga sestavljajo vstopna in izstopna točka, prostor za delno dekontaminacijo, kjer poteka tudi slačenje, mesto za dokončno dekontaminacijo, ki navadno vsebuje tudi prostor za tuširanje in s tem povezane logistične procese ter prostor za preoblačenje v čista oblačila ali druge oblike zavarovanja dekontaminiranih oseb ali opreme
dekontaminacijskemu | DEKONTAMINACIJSKI - [gas.] v zvezi »dekontaminacijska linija«: mesto na robu nevarnega območja, kjer se izvaja dekontaminacija in ki ga sestavljajo vstopna in izstopna točka, prostor za delno dekontaminacijo, kjer poteka tudi slačenje, mesto za dokončno dekontaminacijo, ki navadno vsebuje tudi prostor za tuširanje in s tem povezane logistične procese ter prostor za preoblačenje v čista oblačila ali druge oblike zavarovanja dekontaminiranih oseb ali opreme
dekontaminacijskima | DEKONTAMINACIJSKI - [gas.] v zvezi »dekontaminacijska linija«: mesto na robu nevarnega območja, kjer se izvaja dekontaminacija in ki ga sestavljajo vstopna in izstopna točka, prostor za delno dekontaminacijo, kjer poteka tudi slačenje, mesto za dokončno dekontaminacijo, ki navadno vsebuje tudi prostor za tuširanje in s tem povezane logistične procese ter prostor za preoblačenje v čista oblačila ali druge oblike zavarovanja dekontaminiranih oseb ali opreme
dekontaminacijskimi | DEKONTAMINACIJSKI - [gas.] v zvezi »dekontaminacijska linija«: mesto na robu nevarnega območja, kjer se izvaja dekontaminacija in ki ga sestavljajo vstopna in izstopna točka, prostor za delno dekontaminacijo, kjer poteka tudi slačenje, mesto za dokončno dekontaminacijo, ki navadno vsebuje tudi prostor za tuširanje in s tem povezane logistične procese ter prostor za preoblačenje v čista oblačila ali druge oblike zavarovanja dekontaminiranih oseb ali opreme
dekontaminiranostih | DEKONTAMINIRANOST - [pravopis]
dekontaminiranostim | DEKONTAMINIRANOST - [pravopis]
dekontaminiranostjo | DEKONTAMINIRANOST - [pravopis]
dekontaminiranostma | DEKONTAMINIRANOST - [pravopis]
dekontaminiranostmi | DEKONTAMINIRANOST - [pravopis]
dekriminalizacijama | DEKRIMINALIZACIJA - prenehanje obravnavanja česa kot nezakonito, kaznivo
dekriminalizacijami | DEKRIMINALIZACIJA - prenehanje obravnavanja česa kot nezakonito, kaznivo
dekristjanizacijama | DEKRISTJANIZACIJA - opuščanje, odpravljanje krščanskega
dekristjanizacijami | DEKRISTJANIZACIJA - opuščanje, odpravljanje krščanskega
dematerializacijama | DEMATERIALIZACIJA - glagolnik od dematerializirati
dematerializacijami | DEMATERIALIZACIJA - glagolnik od dematerializirati
dematerializiranega | DEMATERIALIZIRATI - odvzeti čemu čim več materialnega
dematerializiranemu | DEMATERIALIZIRATI - odvzeti čemu čim več materialnega
dematerializiranima | DEMATERIALIZIRATI - odvzeti čemu čim več materialnega
dematerializiranimi | DEMATERIALIZIRATI - odvzeti čemu čim več materialnega
