acilfloroglucinoloma | ACILFLOROGLUCINOL - [farm.]
dibenzodiazepinskima | DIBENZODIAZEPINSKI - [farm.] v zvezi »dibenzodiazepinski derivati«: nevroleptiki s tricikličnim dibenzodiazepinskim skeletom, na katerega je vezan dodaten piperazinski obroč, ki ovirajo vezavo dopamina na dopaminske receptorje in delujejo tudi na serotoninski sistem, npr. klozapin
dibenzodiazepinskimi | DIBENZODIAZEPINSKI - [farm.] v zvezi »dibenzodiazepinski derivati«: nevroleptiki s tricikličnim dibenzodiazepinskim skeletom, na katerega je vezan dodaten piperazinski obroč, ki ovirajo vezavo dopamina na dopaminske receptorje in delujejo tudi na serotoninski sistem, npr. klozapin
difenilpropilaminska | DIFENILPROPILAMINSKI - [farm.] v zvezi »difenilpropilaminski derivati«: opioidni analgetiki z dvema fenilnima obročema na določeni razdalji od bazičnega dušika, ki se vežejo na opioidne receptorje v centralnem živčnem sistemu, npr. metadon
difenilpropilaminske | DIFENILPROPILAMINSKI - [farm.] v zvezi »difenilpropilaminski derivati«: opioidni analgetiki z dvema fenilnima obročema na določeni razdalji od bazičnega dušika, ki se vežejo na opioidne receptorje v centralnem živčnem sistemu, npr. metadon
difenilpropilaminski | [farm.] v zvezi »difenilpropilaminski derivati«: opioidni analgetiki z dvema fenilnima obročema na določeni razdalji od bazičnega dušika, ki se vežejo na opioidne receptorje v centralnem živčnem sistemu, npr. metadon
difenilpropilaminsko | DIFENILPROPILAMINSKI - [farm.] v zvezi »difenilpropilaminski derivati«: opioidni analgetiki z dvema fenilnima obročema na določeni razdalji od bazičnega dušika, ki se vežejo na opioidne receptorje v centralnem živčnem sistemu, npr. metadon
dihidrotestosteronih | DIHIDROTESTOSTERON - > ANDROGEN - [farm.] steroidni hormon, ki se sintetizira in izloča v testisu, manj pa v skorji nadledvične žleze in jajčniku, in povzroča moške spolne znake, npr. testosteron, dihidrotestosteron
dihidrotestosteronom | DIHIDROTESTOSTERON - > ANDROGEN - [farm.] steroidni hormon, ki se sintetizira in izloča v testisu, manj pa v skorji nadledvične žleze in jajčniku, in povzroča moške spolne znake, npr. testosteron, dihidrotestosteron
dihidrotestosteronov | DIHIDROTESTOSTERON - > ANDROGEN - [farm.] steroidni hormon, ki se sintetizira in izloča v testisu, manj pa v skorji nadledvične žleze in jajčniku, in povzroča moške spolne znake, npr. testosteron, dihidrotestosteron
diklorfenoksiocetnem | DIKLORFENOKSIOCETEN - [bot.] v zvezi »diklorfenoksiocetna kislina«: sintetični avksin, ki se uporablja zlasti kot herbicid za zatiranje širokolistnih plevelov
diklorfenoksiocetnih | DIKLORFENOKSIOCETEN - [bot.] v zvezi »diklorfenoksiocetna kislina«: sintetični avksin, ki se uporablja zlasti kot herbicid za zatiranje širokolistnih plevelov
diklorfenoksiocetnim | DIKLORFENOKSIOCETEN - [bot.] v zvezi »diklorfenoksiocetna kislina«: sintetični avksin, ki se uporablja zlasti kot herbicid za zatiranje širokolistnih plevelov
diklorofenoksioceten | > ARILOKSIOCETEN - [farm.] v zvezi »derivat ariloksiocetne kisline«: diuretik Henlejeve zanke, derivat diklorofenoksiocetne kisline, ki se navadno uporablja kot antihipertenziv, npr. etakrinska kislina
diklorofenoksiocetna | DIKLOROFENOKSIOCETEN - > ARILOKSIOCETEN - [farm.] v zvezi »derivat ariloksiocetne kisline«: diuretik Henlejeve zanke, derivat diklorofenoksiocetne kisline, ki se navadno uporablja kot antihipertenziv, npr. etakrinska kislina
diklorofenoksiocetne | DIKLOROFENOKSIOCETEN - > ARILOKSIOCETEN - [farm.] v zvezi »derivat ariloksiocetne kisline«: diuretik Henlejeve zanke, derivat diklorofenoksiocetne kisline, ki se navadno uporablja kot antihipertenziv, npr. etakrinska kislina
diklorofenoksiocetni | DIKLOROFENOKSIOCETEN - > ARILOKSIOCETEN - [farm.] v zvezi »derivat ariloksiocetne kisline«: diuretik Henlejeve zanke, derivat diklorofenoksiocetne kisline, ki se navadno uporablja kot antihipertenziv, npr. etakrinska kislina
diklorofenoksiocetno | DIKLOROFENOKSIOCETEN - > ARILOKSIOCETEN - [farm.] v zvezi »derivat ariloksiocetne kisline«: diuretik Henlejeve zanke, derivat diklorofenoksiocetne kisline, ki se navadno uporablja kot antihipertenziv, npr. etakrinska kislina
diktioklamidosporama | DIKTIOKLAMIDOSPORA - [bot.]
diktioklamidosporami | DIKTIOKLAMIDOSPORA - [bot.]
dimetilizoaloksazina | DIMETILIZOALOKSAZIN - > RIBOFLAVIN - [farm.] v vodi topen vitamin, sestavljen iz ribitola in dimetilizoaloksazina, ki se v organizmu pretvori v flavinmononukleotid in nato v flavin-adenin-dinukleotid, ki je kofaktor pri številnih redoks reakcijah, kjer pride do prenašanja hidridnih anionov in sodeluje pri rasti, antioksidantni zaščiti in metabolizmu številnih organskih molekul
dimetilizoaloksazine | DIMETILIZOALOKSAZIN - > RIBOFLAVIN - [farm.] v vodi topen vitamin, sestavljen iz ribitola in dimetilizoaloksazina, ki se v organizmu pretvori v flavinmononukleotid in nato v flavin-adenin-dinukleotid, ki je kofaktor pri številnih redoks reakcijah, kjer pride do prenašanja hidridnih anionov in sodeluje pri rasti, antioksidantni zaščiti in metabolizmu številnih organskih molekul
dimetilizoaloksazini | DIMETILIZOALOKSAZIN - > RIBOFLAVIN - [farm.] v vodi topen vitamin, sestavljen iz ribitola in dimetilizoaloksazina, ki se v organizmu pretvori v flavinmononukleotid in nato v flavin-adenin-dinukleotid, ki je kofaktor pri številnih redoks reakcijah, kjer pride do prenašanja hidridnih anionov in sodeluje pri rasti, antioksidantni zaščiti in metabolizmu številnih organskih molekul
dimetilizoaloksazinu | DIMETILIZOALOKSAZIN - > RIBOFLAVIN - [farm.] v vodi topen vitamin, sestavljen iz ribitola in dimetilizoaloksazina, ki se v organizmu pretvori v flavinmononukleotid in nato v flavin-adenin-dinukleotid, ki je kofaktor pri številnih redoks reakcijah, kjer pride do prenašanja hidridnih anionov in sodeluje pri rasti, antioksidantni zaščiti in metabolizmu številnih organskih molekul
dinamometamorfizmoma | DINAMOMETAMORFIZEM - [geol.] metamorfoza, ki je posledica tektonskih procesov in usmerjenega tlaka
disfunkcionalnostima | DISFUNKCIONALNOST - [pravopis]
diskontinuiranostima | DISKONTINUIRANOST
diskretnodogodkovnem | DISKRETNODOGODKOVEN - [avt.] v zvezi »diskretnodogodkovni sistem«: sistem, katerega dinamika je odvisna od asinhronega pojavljanja diskretnih dogodkov, npr. proizvodna linija v tovarni, sestavljalna linija v tovarni, prometni sistem, računalniško komunikacijsko omrežje
diskretnodogodkovnih | DISKRETNODOGODKOVEN - [avt.] v zvezi »diskretnodogodkovni sistem«: sistem, katerega dinamika je odvisna od asinhronega pojavljanja diskretnih dogodkov, npr. proizvodna linija v tovarni, sestavljalna linija v tovarni, prometni sistem, računalniško komunikacijsko omrežje
diskretnodogodkovnim | DISKRETNODOGODKOVEN - [avt.] v zvezi »diskretnodogodkovni sistem«: sistem, katerega dinamika je odvisna od asinhronega pojavljanja diskretnih dogodkov, npr. proizvodna linija v tovarni, sestavljalna linija v tovarni, prometni sistem, računalniško komunikacijsko omrežje
diskriminacijskostih | DISKRIMINACIJSKOST - [pravopis]
diskriminacijskostim | DISKRIMINACIJSKOST - [pravopis]
diskriminacijskostjo | DISKRIMINACIJSKOST - [pravopis]
diskriminacijskostma | DISKRIMINACIJSKOST - [pravopis]
diskriminacijskostmi | DISKRIMINACIJSKOST - [pravopis]
diskriminatornostima | DISKRIMINATORNOST - lastnost, značilnost diskriminatornega
diskvalificiranostih | DISKVALIFICIRANOST - [pravopis]
diskvalificiranostim | DISKVALIFICIRANOST - [pravopis]
diskvalificiranostjo | DISKVALIFICIRANOST - [pravopis]
diskvalificiranostma | DISKVALIFICIRANOST - [pravopis]
diskvalificiranostmi | DISKVALIFICIRANOST - [pravopis]
disproporcijskostima | DISPROPORCIJSKOST - [pravopis]
disproporcionalnosti | DISPROPORCIONALNOST - značilnost disproporcionalnega
disproporcioniranega | DISPROPORCIONIRATI - napraviti kaj disproporcionalno
disproporcioniranemu | DISPROPORCIONIRATI - napraviti kaj disproporcionalno
disproporcioniranima | DISPROPORCIONIRATI - napraviti kaj disproporcionalno
disproporcioniranimi | DISPROPORCIONIRATI - napraviti kaj disproporcionalno
disproporcioniranost | značilnost disproporcioniranega
distributivnostnosti | DISTRIBUTIVNOSTNOST - [pravopis]
dizelelektričnostima | DIZELELEKTRIČNOST - [pravopis]
dnevnoinformativnega | DNEVNOINFORMATIVEN - ki je v zvezi s podajanjem dnevnih, aktualnih informacij
dnevnoinformativnemu | DNEVNOINFORMATIVEN - ki je v zvezi s podajanjem dnevnih, aktualnih informacij
dnevnoinformativnima | DNEVNOINFORMATIVEN - ki je v zvezi s podajanjem dnevnih, aktualnih informacij
dnevnoinformativnimi | DNEVNOINFORMATIVEN - ki je v zvezi s podajanjem dnevnih, aktualnih informacij
dokapitalizacijskega | DOKAPITALIZACIJSKI - nanašajoč se na dokapitalizacijo
dokapitalizacijskemu | DOKAPITALIZACIJSKI - nanašajoč se na dokapitalizacijo
dokapitalizacijskima | DOKAPITALIZACIJSKI - nanašajoč se na dokapitalizacijo
dokapitalizacijskimi | DOKAPITALIZACIJSKI - nanašajoč se na dokapitalizacijo
dokapitaliziranostih | DOKAPITALIZIRANOST - [pravopis]
dokapitaliziranostim | DOKAPITALIZIRANOST - [pravopis]
dokapitaliziranostjo | DOKAPITALIZIRANOST - [pravopis]
dokapitaliziranostma | DOKAPITALIZIRANOST - [pravopis]
dokapitaliziranostmi | DOKAPITALIZIRANOST - [pravopis]
dokumentacijskostima | DOKUMENTACIJSKOST - [pravopis]
dokvalificiranostima | DOKVALIFICIRANOST - [pravopis]
dolnjelužiškosrbskem | DOLNJELUŽIŠKOSRBSKI - [pravopis]
dolnjelužiškosrbskih | DOLNJELUŽIŠKOSRBSKI - [pravopis]
dolnjelužiškosrbskim | DOLNJELUŽIŠKOSRBSKI - [pravopis]
dostojanstveničinega | DOSTOJANSTVENIČIN - [pravopis]
dostojanstveničinemu | DOSTOJANSTVENIČIN - [pravopis]
dostojanstveničinima | DOSTOJANSTVENIČIN - [pravopis]
dostojanstveničinimi | DOSTOJANSTVENIČIN - [pravopis]
drobnoburžoaznostima | DROBNOBURŽOAZNOST - [pravopis]
drobnokapitalističen | nanašajoč se na drobne kapitaliste
drobnokapitalistična | DROBNOKAPITALISTIČEN - nanašajoč se na drobne kapitaliste
drobnokapitalistične | DROBNOKAPITALISTIČEN - nanašajoč se na drobne kapitaliste
drobnokapitalistični | DROBNOKAPITALISTIČEN - nanašajoč se na drobne kapitaliste
drobnokapitalistično | DROBNOKAPITALISTIČEN - nanašajoč se na drobne kapitaliste
drobnoluknjičavostih | DROBNOLUKNJIČAVOST - [pravopis]
drobnoluknjičavostim | DROBNOLUKNJIČAVOST - [pravopis]
drobnoluknjičavostjo | DROBNOLUKNJIČAVOST - [pravopis]
drobnoluknjičavostma | DROBNOLUKNJIČAVOST - [pravopis]
drobnoluknjičavostmi | DROBNOLUKNJIČAVOST - [pravopis]
drobnoposestniškosti | DROBNOPOSESTNIŠKOST - [pravopis]
drobnoproizvajalskem | DROBNOPROIZVAJALSKI - nanašajoč se na drobne proizvajalce
drobnoproizvajalskih | DROBNOPROIZVAJALSKI - nanašajoč se na drobne proizvajalce
drobnoproizvajalskim | DROBNOPROIZVAJALSKI - nanašajoč se na drobne proizvajalce
drugokategorničinega | DRUGOKATEGORNIČIN - [pravopis]
drugokategorničinemu | DRUGOKATEGORNIČIN - [pravopis]
drugokategorničinima | DRUGOKATEGORNIČIN - [pravopis]
drugokategorničinimi | DRUGOKATEGORNIČIN - [pravopis]
drugostopenjskostima | DRUGOSTOPENJSKOST - [pravopis]
družbenogeografskega | DRUŽBENOGEOGRAFSKI - [geog.] v zvezi »družbenogeografski zemljevid«: tematski zemljevid, ki prikazuje družbenogeografske pojave, npr. poselitev, rabo tal, turistične tokove
družbenogeografskemu | DRUŽBENOGEOGRAFSKI - [geog.] v zvezi »družbenogeografski zemljevid«: tematski zemljevid, ki prikazuje družbenogeografske pojave, npr. poselitev, rabo tal, turistične tokove
družbenogeografskima | DRUŽBENOGEOGRAFSKI - [geog.] v zvezi »družbenogeografski zemljevid«: tematski zemljevid, ki prikazuje družbenogeografske pojave, npr. poselitev, rabo tal, turistične tokove
družbenogeografskimi | DRUŽBENOGEOGRAFSKI - [geog.] v zvezi »družbenogeografski zemljevid«: tematski zemljevid, ki prikazuje družbenogeografske pojave, npr. poselitev, rabo tal, turistične tokove
družbenogospodarskem | DRUŽBENOGOSPODARSKI - nanašajoč se na gospodarstvo določene družbe ali gospodarski položaj posameznikov ali skupin v njej
družbenogospodarskih | DRUŽBENOGOSPODARSKI - nanašajoč se na gospodarstvo določene družbe ali gospodarski položaj posameznikov ali skupin v njej
družbenogospodarskim | DRUŽBENOGOSPODARSKI - nanašajoč se na gospodarstvo določene družbe ali gospodarski položaj posameznikov ali skupin v njej
družbenonravstvenega | DRUŽBENONRAVSTVEN - [pravopis]
družbenonravstvenemu | DRUŽBENONRAVSTVEN - [pravopis]
družbenonravstvenima | DRUŽBENONRAVSTVEN - [pravopis]
družbenonravstvenimi | DRUŽBENONRAVSTVEN - [pravopis]
družbenopolitičnosti | DRUŽBENOPOLITIČNOST - [pravopis]
družbenoprostorskega | DRUŽBENOPROSTORSKI - > INDUSTRIALIZACIJA - [geog.] gospodarski, družbenoprostorski in socialni proces, povezan s širjenjem industrijske proizvodnje
družbenoprostorskemu | DRUŽBENOPROSTORSKI - > INDUSTRIALIZACIJA - [geog.] gospodarski, družbenoprostorski in socialni proces, povezan s širjenjem industrijske proizvodnje
družbenoprostorskima | DRUŽBENOPROSTORSKI - > INDUSTRIALIZACIJA - [geog.] gospodarski, družbenoprostorski in socialni proces, povezan s širjenjem industrijske proizvodnje
družbenoprostorskimi | DRUŽBENOPROSTORSKI - > INDUSTRIALIZACIJA - [geog.] gospodarski, družbenoprostorski in socialni proces, povezan s širjenjem industrijske proizvodnje
družbenoupravnostima | DRUŽBENOUPRAVNOST - [pravopis]
družbenozgodovinskem | DRUŽBENOZGODOVINSKI - nanašajoč se na zgodovino družbe
družbenozgodovinskih | DRUŽBENOZGODOVINSKI - nanašajoč se na zgodovino družbe
družbenozgodovinskim | DRUŽBENOZGODOVINSKI - nanašajoč se na zgodovino družbe
družinskosorodstvena | DRUŽINSKOSORODSTVEN - [pravopis]
družinskosorodstvene | DRUŽINSKOSORODSTVEN - [pravopis]
družinskosorodstveni | DRUŽINSKOSORODSTVEN - [pravopis]
družinskosorodstveno | DRUŽINSKOSORODSTVEN - [pravopis]
državljanskopravnega | DRŽAVLJANSKOPRAVEN - nanašajoč se na državljansko pravo
državljanskopravnemu | DRŽAVLJANSKOPRAVEN - nanašajoč se na državljansko pravo
državljanskopravnima | DRŽAVLJANSKOPRAVEN - nanašajoč se na državljansko pravo
državljanskopravnimi | DRŽAVLJANSKOPRAVEN - nanašajoč se na državljansko pravo
državnogospodarskega | DRŽAVNOGOSPODARSKI - nanašajoč se na državno gospodarstvo
državnogospodarskemu | DRŽAVNOGOSPODARSKI - nanašajoč se na državno gospodarstvo
državnogospodarskima | DRŽAVNOGOSPODARSKI - nanašajoč se na državno gospodarstvo
državnogospodarskimi | DRŽAVNOGOSPODARSKI - nanašajoč se na državno gospodarstvo
državnosocialističen | nanašajoč se na državni socializem
državnosocialistična | DRŽAVNOSOCIALISTIČEN - nanašajoč se na državni socializem
državnosocialistične | DRŽAVNOSOCIALISTIČEN - nanašajoč se na državni socializem
državnosocialistični | DRŽAVNOSOCIALISTIČEN - nanašajoč se na državni socializem
državnosocialistično | DRŽAVNOSOCIALISTIČEN - nanašajoč se na državni socializem
duhovnozgodovinskega | DUHOVNOZGODOVINSKI - nanašajoč se na duhovno zgodovino
duhovnozgodovinskemu | DUHOVNOZGODOVINSKI - nanašajoč se na duhovno zgodovino
duhovnozgodovinskima | DUHOVNOZGODOVINSKI - nanašajoč se na duhovno zgodovino
duhovnozgodovinskimi | DUHOVNOZGODOVINSKI - nanašajoč se na duhovno zgodovino
dvainštirideseturnem | DVAINŠTIRIDESETUREN - ki traja dvainštirideset ur
dvainštirideseturnih | DVAINŠTIRIDESETUREN - ki traja dvainštirideset ur
dvainštirideseturnim | DVAINŠTIRIDESETUREN - ki traja dvainštirideset ur
dvanajsterokotnikoma | DVANAJSTEROKOTNIK - lik, ki ima dvanajst kotov
dvanajsterokotnostih | DVANAJSTEROKOTNOST - [pravopis]
dvanajsterokotnostim | DVANAJSTEROKOTNOST - [pravopis]
dvanajsterokotnostjo | DVANAJSTEROKOTNOST - [pravopis]
dvanajsterokotnostma | DVANAJSTEROKOTNOST - [pravopis]
dvanajsterokotnostmi | DVANAJSTEROKOTNOST - [pravopis]
dvanajsterostranosti | DVANAJSTEROSTRANOST - [pravopis]
dvodimenzionalnostih | DVODIMENZIONALNOST - značilnost dvodimenzionalnega
dvodimenzionalnostim | DVODIMENZIONALNOST - značilnost dvodimenzionalnega
dvodimenzionalnostjo | DVODIMENZIONALNOST - značilnost dvodimenzionalnega
dvodimenzionalnostma | DVODIMENZIONALNOST - značilnost dvodimenzionalnega
dvodimenzionalnostmi | DVODIMENZIONALNOST - značilnost dvodimenzionalnega
dvostanovanjskostima | DVOSTANOVANJSKOST - [pravopis]
edinozveličavnostima | EDINOZVELIČAVNOST - lastnost edino pravilnega
eksemplifikativnosti | EKSEMPLIFIKATIVNOST - [pravopis]
ekshibicionističnega | EKSHIBICIONISTIČEN - nanašajoč se na ekshibicionizem
ekshibicionističnemu | EKSHIBICIONISTIČEN - nanašajoč se na ekshibicionizem
ekshibicionističnima | EKSHIBICIONISTIČEN - nanašajoč se na ekshibicionizem
ekshibicionističnimi | EKSHIBICIONISTIČEN - nanašajoč se na ekshibicionizem
ekshibicionističnost | [pravopis]
eksistencialističnem | EKSISTENCIALISTIČEN - nanašajoč se na eksistencializem
eksistencialističnih | EKSISTENCIALISTIČEN - nanašajoč se na eksistencializem
eksistencialističnim | EKSISTENCIALISTIČEN - nanašajoč se na eksistencializem
ekskluzivističnostih | EKSKLUZIVISTIČNOST - [pravopis]
ekskluzivističnostim | EKSKLUZIVISTIČNOST - [pravopis]
ekskluzivističnostjo | EKSKLUZIVISTIČNOST - [pravopis]
ekskluzivističnostma | EKSKLUZIVISTIČNOST - [pravopis]
ekskluzivističnostmi | EKSKLUZIVISTIČNOST - [pravopis]
ekskomuniciranostima | EKSKOMUNICIRANOST - [pravopis]
ekspanzionističnosti | EKSPANZIONISTIČNOST - [pravopis]
eksperimentalnostima | EKSPERIMENTALNOST - lastnost, značilnost eksperimentalnega
eksperimentatorskega | EKSPERIMENTATORSKI - [pravopis]
eksperimentatorskemu | EKSPERIMENTATORSKI - [pravopis]
eksperimentatorskima | EKSPERIMENTATORSKI - [pravopis]
eksperimentatorskimi | EKSPERIMENTATORSKI - [pravopis]
eksploatacijskostima | EKSPLOATACIJSKOST - [pravopis]
ekspresionističnosti | EKSPRESIONISTIČNOST - [pravopis]
ekspropriatoričinega | EKSPROPRIATORIČIN - [pravopis]
ekspropriatoričinemu | EKSPROPRIATORIČIN - [pravopis]
ekspropriatoričinima | EKSPROPRIATORIČIN - [pravopis]
ekspropriatoričinimi | EKSPROPRIATORIČIN - [pravopis]
eksteritorialnostima | EKSTERITORIALNOST - nepodrejenost osebe ali stvari oblasti države, na katere ozemlju s posebnim privoljenjem biva, je
ekstraordinarnostima | EKSTRAORDINARNOST - [pravopis]
ekstrateritorialnega | EKSTRATERITORIALEN - [prav.] v zvezi »ekstrateritorialna uporaba mednarodnih pogodb«: uporaba mednarodnih pogodb za države pogodbenice tudi na območjih zunaj njihove suverenosti, kadar tam izvršujejo dejanski nadzor
ekstrateritorialnemu | EKSTRATERITORIALEN - [prav.] v zvezi »ekstrateritorialna uporaba mednarodnih pogodb«: uporaba mednarodnih pogodb za države pogodbenice tudi na območjih zunaj njihove suverenosti, kadar tam izvršujejo dejanski nadzor
ekstrateritorialnima | EKSTRATERITORIALEN - [prav.] v zvezi »ekstrateritorialna uporaba mednarodnih pogodb«: uporaba mednarodnih pogodb za države pogodbenice tudi na območjih zunaj njihove suverenosti, kadar tam izvršujejo dejanski nadzor
ekstrateritorialnimi | EKSTRATERITORIALEN - [prav.] v zvezi »ekstrateritorialna uporaba mednarodnih pogodb«: uporaba mednarodnih pogodb za države pogodbenice tudi na območjih zunaj njihove suverenosti, kadar tam izvršujejo dejanski nadzor
ekstrateritorialnost | [prav.] v zvezi »načelo ekstrateritorialnosti«: načelo, po katerem je država zavezana z določeno pravno normo tudi pri ravnanju zunaj svojega ozemlja
